catalog_no,source_labelarchive,year_of_release,album_title,album_artists,countrys,culture_groups,genres,instruments,languages,keywords,link,single_country,longitude,latitude
FW00RF6,Folkways Records,1963,The Jug Bands,Various Artists,United States,African American,"Blues; Jazz &amp; Ragtime",Jug,,"Blues; Jug band music",http://www.folkways.si.edu/the-jug-bands/blues-jazz-ragtime/music/album/smithsonian,United States,-85.0116215444268,35.3133755335541
FW02312,Folkways Records,1957,Songs of the Sea: Sung by Alan Mills,Alan Mills,"Canada; Ireland; United Kingdom; United States",Anglo-American,"Celtic; World","Guitar; Vocals",,"Ballads; Folksong revival; Grief; Maritime; Military music; Sea songs; Sentimental",http://www.folkways.si.edu/alan-mills/songs-of-the-sea/celtic-world/music/album/smithsonian,Canada,-72.644918582479,69.2374806985252
FW02348,Folkways Records,1957,Andrew Rowan Summers,Andrew Rowan Summers,"France; United Kingdom; United States",Anglo-American,American Folk,Appalachian dulcimer,,"Ballads; Courtship; Folksong revival; Grief; Laments; Love songs; Murder; Music--Juvenile; Opera",http://www.folkways.si.edu/andrew-rowan-summers/american-folk/music/album/smithsonian,France,3.23782511740241,50.2546372531253
FW02654,Folkways Records,1956,"Music from the South, Vol. 5: Song, Play, and Dance",Various Artists,United States,African American,"African American Music; American Folk; Blues","Guitar; Harmonica; Kazoo; Mandolin",,"Blues; Buck dancing; Dance; Folk songs--United States; Games; Gospel music; Play-party; Railroads; Spirituals (Songs); String band",http://www.folkways.si.edu/music-from-the-south-vol-5-song-play-and-dance/african-american-music-folk-blues/album/smithsonian,United States,-115.536265815565,44.8348983165053
FW02656,Folkways Records,1956,"Music from the South, Vol. 7: Elder Songsters, 2",Various Artists,United States,African American,"African American Music; American Folk; Gospel",,,"Blues; Gospel music; Hymns; Religious; Spirituals (Songs)",http://www.folkways.si.edu/music-from-the-south-vol-7-elder-songsters-2/african-american-music-folk-gospel/album/smithsonian,United States,-120.707901084873,47.2453790554435
FW03342,Folkways Records,1964,The Clementi Piano: Vol. 2,John Newmark,"Canada; Italy",,Classical,Piano,,"Instrumental music; Music--Classical",http://www.folkways.si.edu/john-newmark/the-clementi-piano-vol-2/classical/music/album/smithsonian,Canada,-88.5956109369149,52.2118925752784
FW03321,Folkways Records,1962,Music Played on the Virginal - Music for the Virginal,Stewart Robb,"France; Germany; Italy; Spain; United Kingdom; United States",Anglo-American,Classical,Harpsichord,,"Instrumental music; Music--15th century; Music--17th century",http://www.folkways.si.edu/stewart-robb/music-played-on-the-virginal-music-for-the-virginal/classical/music/album/smithsonian,France,-0.163106272698188,45.8052842952672
FW03351,Folkways Records,1962,The Violin: Vol. 1,Hyman Bress,"Canada; France; Germany; Italy; Portugal",,Classical,Violin,,"Instrumental music; Music--17th century",http://www.folkways.si.edu/hyman-bress/the-violin-vol-1/classical/music/album/smithsonian,Canada,-100.249542990017,54.1857556830309
FW03520,Folkways Records,1977,Fishers Hornpipe and Other Celtic Traditional Tunes,Fox Watson and Laurie Diehl,"Canada; France; Ireland; Italy; Scotland; United Kingdom; United States",Anglo-American,"Celtic; World","Bass; Bodhrán; Fiddle; Guitar; Hurdy-gurdy; Mandolin; Psaltery; Violin",,"Dance; Fiddle tunes; Folksong revival; Hornpipes; Jigs; Migration; Music--British Isles; Reels (Music); Wit and humor",http://www.folkways.si.edu/fox-watson-and-laurie-diehl/fishers-hornpipe-and-other-celtic-traditional-tunes/celtic-world/music/album/smithsonian,Canada,-112.498720004264,64.2804621086201
FW03522,Folkways Records,1962,An Irishman in North Americay,Tom Kines,"Canada; Ireland; United Kingdom",Irish-Canadian,"Celtic; World","Guitar; Vocals",,"Ballads; Bawdy songs; Courtship; Crime; Drinking songs; Folksong revival; Love songs; Marriage; Music--British Isles; Music--Ireland; Outlaw songs; Political ballads and songs; Wit and humor",http://www.folkways.si.edu/tom-kines/an-irishman-in-north-americay/celtic-world/music/album/smithsonian,Canada,-104.538289462889,55.790795448583
FW03508,Folkways Records,1956,"John A. Lomax, Jr. Sings American Folksongs","John Lomax, Jr.",United States,Anglo-American,American Folk,,,"Animals; Ballads; Blues; Complaint; Courtship; Cowboys--Songs and music; Crime; Folk songs--United States; Folksong revival; Love songs; Lullabies; Marriage; Music--Juvenile; Occupational; Play-party; Prison songs; Railroads; Tragic songs; Wit and humor; Work songs",http://www.folkways.si.edu/john-lomax-jr/sings-american-folksongs/music/album/smithsonian,United States,-161.68808052793,61.3541782593816
FW03527,Folkways Records,1961,Blues,Little Brother Montgomery,United States,African American,Blues,"Piano; Vocals",,Blues,http://www.folkways.si.edu/little-brother-montgomery/blues/music/album/smithsonian,United States,-79.750442960701,34.6866826710389
FW03549,Folkways Records,1961,Karen James,Karen James,"Canada; United Kingdom",British-Canadian,"American Folk; Struggle &amp; Protest","Guitar; Vocals",,"Animals; Ballads; Courtship; Folksong revival; Grief; Love songs; Maritime; Marriage; Migration; Mining--Songs and music; Political ballads and songs; Protest songs; Supernatural; Topical songs; Tragic songs; Weddings",http://www.folkways.si.edu/karen-james/american-folk-struggle-protest/music/album/smithsonian,Canada,-97.6188294327204,52.6689350857614
FW04451,Folkways Records,1954,Bulu Songs from the Cameroons,Various Artists,Cameroon,Bulu,World,"Chorus; Drum; Flute; Mvet",,World music,http://www.folkways.si.edu/bulu-songs-from-the-cameroons/world/music/album/smithsonian,Cameroon,11.9601882152583,2.77397394919078
FW03700,Folkways Records,1962,"2,000 Years of Music Compiled by and Released in Memory of Dr. Curt Sachs",Various Artists,"France; Germany; Greece; Israel; Italy; Netherlands",,"Classical; Music Instruction; World",,,"Chants; Early-music groups; Music; Music--17th century; Opera",http://www.folkways.si.edu/2000-years-of-music-compiled-by-and-released-in-memory-of-dr-curt-sachs/classical-music-instruction-world/album/smithsonian,France,0.941991252436689,48.4812227643009
FW04294,Folkways Records,1980,Yoruba Bata Drums: Elewe Music and Dance,Various Artists,Nigeria,Yoruba,World,,,World music,http://www.folkways.si.edu/yoruba-bata-drums-elewe-music-and-dance/world/album/smithsonian,Nigeria,13.9288312056199,13.2386969545624
FW03816,Folkways Records,1984,"The Blues in St. Louis, Vol. 3: Henry Townsend",Henry Townsend,United States,African American,Blues,"Bass guitar; Electric guitar; Guitar; Piano",,Blues,http://www.folkways.si.edu/henry-townsend/the-blues-in-st-louis-vol-3/music/album/smithsonian,United States,-103.147026513552,46.1383758127438
FW03836,Folkways Records,1981,Someday We'll Meet Again: Old Time Music of the Southern Mountains,Iron Mountain String Band,United States,,Old Time,"Banjo; Fiddle; Guitar; Vocals",,"Bluegrass music; Folk songs--United States",http://www.folkways.si.edu/iron-mountain-string-band/someday-well-meet-again-old-time-music-of-the-southern-mountains/music/album/smithsonian,United States,-102.404436906567,31.2305515210267
FW03839,Folkways Records,1980,"Virginia Mountain Boys: Old Time Bluegrass from Grayson and Carroll Counties, Virginia: Vol. 3",The Virginia Mountain Boys,United States,Anglo-American,Bluegrass,"Banjo; Bass; Fiddle; Guitar; Mandolin",,"Ballads; Bluegrass music; Courtship; Dance; Fiddle tunes; Gospel music; Grief; Love songs; Murder; Old-time music; Oral history; Prison songs; Railroads; Religious; String band; Waltz",http://www.folkways.si.edu/the-virginia-mountain-boys/old-time-bluegrass-from-grayson-and-carroll-counties-virginia-vol-3/music/album/smithsonian,United States,-121.806944738965,47.5872861845075
FW04258,Folkways Records,1982,Songs of War and Death from the Slave Coast: Songs of War,Various Artists,Ghana,Ewe,World,,,World music,http://www.folkways.si.edu/songs-of-war-and-death-from-the-slave-coast-songs-of-war/world/music/album/smithsonian,Ghana,-2.42326457875053,10.9162676364611
FW04060,Folkways Records,1975,"Music from the Island of Krk, Yugoslavia",Various Artists,"Croatia; Yugoslavia (former)",,World,,Serbian,World music,http://www.folkways.si.edu/music-from-the-island-of-krk-yugoslavia/world/album/smithsonian,Croatia,15.2162968721488,45.3012004101585
FW04176,Folkways Records,1972,"Selk'nam (Ona) Chants of Tierra del Fuego, Argentina",Lola Kiepja,Argentina,American Indian,"American Indian; World",Vocals,,"American Indian; Animals; Ceremonial; Chants; Contests; Grief; Healing; Hunting; Laments; Legends; Lullabies; Military music; Missionary music; Nature; Possession; Religious; World music",http://www.folkways.si.edu/lola-kiepja/selknam-ona-chants-of-tierra-del-fuego-argentina/american-indian-world/music/album/smithsonian,Argentina,-70.8913954189216,-39.5888970347068
FW04337,Folkways Records,1966,Music of Chad,Various Artists,Chad,,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-chad/islamica-world/album/smithsonian,Chad,19.5230500729544,15.3993545678778
FW04228,Folkways Records,1981,"John Crow Say..: Jamaican Music of Faith, Work and Play",Various Artists,Jamaica,African Caribbean,"Caribbean; World","Drum; Grater; Harmonica; Scraper (Musical instrument); Trumpet",,"Ballads; Bawdy songs; Call and response; Choral music; Dance; Folksong revival; Funeral music; Games; Hymns; Music--Juvenile; Quadrille (Dance); Religious; Songs; Wit and humor; Work songs; World music",http://www.folkways.si.edu/john-crow-say-jamaican-music-of-faith-work-and-play/caribbean-world/album/smithsonian,Jamaica,-77.8285637240117,18.469797305773
FW04253,Folkways Records,1972,"Music of the Algonkians: Woodland Indians: Cree, Montagnais, Naskapi",Various Artists,Canada,"Algonquian; Montagnais; Naskapi",American Indian,"Drum; Vocals",,American Indian,http://www.folkways.si.edu/music-of-the-algonkians-woodland-indians-cree-montagnais-naskapi/american-indian/album/smithsonian,Canada,-88.9365954485347,69.0147930196189
FW04320,Folkways Records,1973,Music of a Sherpa Village,Various Artists,Nepal,,World,,,World music,http://www.folkways.si.edu/music-of-a-sherpa-village/world/album/smithsonian,Nepal,84.9049637780294,27.9672793760219
FW04307,Folkways Records,1962,Maritime Folk Songs: from the Collection of Helen Creighton,Various Artists,Canada,,American Folk,,,"Folk songs--United States; Sea songs",http://www.folkways.si.edu/maritime-folk-songs-from-the-collection-of-helen-creighton/american-folk/music/album/smithsonian,Canada,-81.3395580109879,76.9311046101124
FW04403,Folkways Records,1950,"Music of Haiti: Vol. 2, Drums of Haiti",Various Artists,Haiti,,"Caribbean; World","Bass; Cata (Drum); Drum; Ogan (Bell); Stamping tube; Sticks (Musical instrument); Trumpet; Voodoo music",,World music,http://www.folkways.si.edu/music-of-haiti-vol-2-drums-of-haiti/caribbean-world/album/smithsonian,Haiti,-72.5742105208772,19.0121613572586
FW04421,Folkways Records,1951,Music of South Arabia,Various Artists,Saudi Arabia,,"Islamica; World",,,World music,http://www.folkways.si.edu/music-of-south-arabia/islamica-world/album/smithsonian,Saudi Arabia,46.6048640393864,21.1050867749838
FW04428,Folkways Records,1952,Songs of the Watutsi,Various Artists,Rwanda,Tutsi,World,Harp,,World music,http://www.folkways.si.edu/songs-of-the-watutsi/world/music/album/smithsonian,Rwanda,29.8930478647193,-2.68691009056109
FW04442,Folkways Records,1951,Religious Music of the Falashas (Jews of Ethiopia),Various Artists,Ethiopia,"Jewish; Jews, Ethiopian","Judaica; World",,"Amharic; Ge'ez","Jewish; World music",http://www.folkways.si.edu/religious-music-of-the-falashas-jews-of-ethiopia/judaica-world/album/smithsonian,Ethiopia,42.4560611450747,5.50340324464051
FW04482,Folkways Records,1957,Songs of French Canada,Various Artists,Canada,French Canadian,World,"Fiddle; Harmonica; Spoons (Musical instrument)",,Folksong revival,http://www.folkways.si.edu/songs-of-french-canada/world/music/album/smithsonian,Canada,-117.306170095399,72.6862688680659
FW04491,Folkways Records,1975,Vodun-Rada Rite for Erzulie,Various Artists,Haiti,African Caribbean,"Caribbean; Sacred; World",,,"Religious; World music",http://www.folkways.si.edu/vodun-rada-rite-for-erzulie/caribbean-sacred-world/music/album/smithsonian,Haiti,-71.7633271711804,18.3157886636125
FW04467,Folkways Records,1956,Folk Dances of Greece,Various Artists,"Cyprus; Greece",,World,,,World music,http://www.folkways.si.edu/folk-dances-of-greece/world/music/album/smithsonian,Cyprus,33.9883002333139,35.3705641020653
FW04508,Folkways Records,1961,Music of the World's Peoples: Vol. 5,Various Artists,"Algeria; Belarus; Bolivia; Ethiopia; Fiji; Haiti; Honduras; Jamaica; Lebanon; Malaysia; Morocco; Myanmar; Nepal; Poland; Scotland; Somalia; South Africa; Spain; Syria; United States; USSR (former)","Cajun; Hawaiian; Scottish; Zulu","Central Asia; Islamica; World","Bamboo trumpet; Beganna; Drum; Slit-gong; Sticks (Musical instrument)",,World music anthologies,http://www.folkways.si.edu/music-of-the-worlds-peoples-vol-5/central-asia-islamica-world/album/smithsonian,Algeria,8.05705529608576,35.747181166823
FW04530,Folkways Records,1958,Folk Music U.S.A.: Vol. 1,Various Artists,"Puerto Rico; United States; Virgin Islands of the United States","African American; Anglo-American; Cajun; Hispanic; Salish; Taos Pueblo",American Folk,"Accordion; Banjo; Drum; Dulcimer; Fiddle; Guitar; Harmonica; Kazoo; Piano; Twelve string guitar; Washboard band music",,"American Indian; Folk songs--United States; Folksong revival; Shape note singing",http://www.folkways.si.edu/folk-music-usa-vol-1/american-folk/album/smithsonian,Puerto Rico,-67.0058944758408,18.4618731754208
FW05410,Folkways Records,1971,Raimon: Catalonian Protest Songs,Raimon,Spain,Catalonian,"Historical Song; Struggle &amp; Protest; World",,,"Folksong revival; Protest songs; World music",http://www.folkways.si.edu/raimon/catalonian-protest-songs/historical-song-struggle-protest-world/music/album/smithsonian,Spain,-6.82220491999784,40.1226233855413
FW05558,Folkways Records,1954,New York 19,Tony Schwartz,United States,,Documentary,,English,"Cries; Games; Sound effects",http://www.folkways.si.edu/tony-schwartz/new-york-19/documentary/album/smithsonian,United States,-90.680531593308,34.9490372943538
FW05603,Folkways Records,1978,Puerto Rico: Its History: Pre-1943 to the Present,Robert Martinez,"Puerto Rico; United States",Puerto Rican,"Caribbean; World History",,,"Instructional; Spoken word; World history",http://www.folkways.si.edu/robert-martinez/puerto-rico-its-history-pre-1943-to-the-present/caribbean-world-history/music/album/smithsonian,Puerto Rico,-66.6071186222206,18.3226274259645
FW06501,Folkways Records,1957,"The Dances of the World's Peoples, Vol. 1: Dances of the Balkans and Near East",Various Artists,"Bulgaria; Greece; Romania; Yugoslavia (former)","Croatian; Macedonian",World,,,World music anthologies,http://www.folkways.si.edu/the-dances-of-the-worlds-peoples-vol-1-dances-of-the-balkans-and-near-east/music/album/smithsonian,Bulgaria,25.0239464739572,43.4746387741132
FW06816,Folkways Records,1950,Spanish Guitar Solos,Carlos Montoya,Spain,,World,Guitar,,World music,http://www.folkways.si.edu/carlos-montoya/spanish-guitar-solos/world/music/album/smithsonian,Spain,-4.62615799231634,36.7666656122832
FW06821,Folkways Records,1955,Folk Songs of the Canadian North Woods,Wade Hemsworth,Canada,,World,"Guitar; Vocals",,World music,http://www.folkways.si.edu/wade-hemsworth/folk-songs-of-the-canadian-north-woods/world/music/album/smithsonian,Canada,-94.6652146453091,72.206772017913
FW06846,Folkways Records,1954,Jamaican Folk Songs,Louise Bennett,Jamaica,,"Caribbean; World",,,World music,http://www.folkways.si.edu/louise-bennett/jamaican-folk-songs/caribbean-world/music/album/smithsonian,Jamaica,-77.6843053709646,18.2320065553127
FW07214,Folkways Records,1956,Game Songs of French Canada,Various Artists,Canada,French Canadian,Children's,,,"Folksong revival; Music--Juvenile",http://www.folkways.si.edu/game-songs-of-french-canada/childrens/music/album/smithsonian,Canada,-84.157471613087,79.2763643851066
FW06929,Folkways Records,1952,Folk Songs of French Canada,Alan Mills,Canada,French Canadian,World,"Guitar; Vocals",,"Folksong revival; Music--Quebec",http://www.folkways.si.edu/alan-mills/folk-songs-of-french-canada/world/music/album/smithsonian,Canada,-122.326022859592,52.9339690599251
FW06951,Folkways Records,1956,Songs and Dances of Quebec,Various Artists,Canada,French Canadian,World,,,World music,http://www.folkways.si.edu/songs-and-dances-of-quebec/world/music/album/smithsonian,Canada,-115.402065643893,56.1511026920796
FW07107,Folkways Records,1956,Uncle Bouqui of Haiti: By Harold Courlander,Augusta Baker,"Haiti; United States",African Caribbean,"African American Spoken; Caribbean; Children's",,,"Music--Juvenile; Spoken word; Storytelling",http://www.folkways.si.edu/augusta-baker/uncle-bouqui-of-haiti-by-harold-courlander/african-american-spoken-caribbean-childrens/music/album/smithsonian,Haiti,-72.170586046688,19.0119838368523
FW07431,Folkways Records,1956,"World of Man, Vol. 1: His Work",Various Artists,"Brazil; Cameroon; Canada; Congo (Democratic Republic); Gabon; Haiti; Honduras; Japan; Liberia; Norway; Philippines; Scotland; United States",,World History,,,"Verbal arts; Work songs; World music anthologies",http://www.folkways.si.edu/world-of-man-vol-1-his-work/world-history/music/album/smithsonian,Brazil,-35.4021432385753,-7.10311325513464
FW07746,Folkways Records,1963,Children's Songs from Spain,Karen James and Isabelita Alonso,Spain,,"Children's; World",,,"Music--Juvenile; World music",http://www.folkways.si.edu/karen-james-and-isabelita-alonso/childrens-songs-from-spain/world/music/album/smithsonian,Spain,-1.51942319139388,37.8816182745032
FW08741,Folkways Records,1964,Sonia Malkine Sings French Folk Songs,Sonia Malkine,France,,World,"Lute; Vocals",,World music,http://www.folkways.si.edu/sonia-malkine/sings-french-folk-songs/world/music/album/smithsonian,France,6.17783145399514,44.1863221592491
FW08471,Folkways Records,1978,The Swedish Fiddlers: Music from the Gathering of the Fiddlers at Delsbo,Various Artists,Sweden,,World,,,World music,http://www.folkways.si.edu/the-swedish-fiddlers-music-from-the-gathering-of-the-fiddlers-at-delsbo/world/music/album/smithsonian,Sweden,17.6458861915428,66.260660659214
FW08502,Folkways Records,1973,African Politics: More Songs from Kenya,David Nzomo,Kenya,,"Historical Song; World",,,"Protest songs; World music",http://www.folkways.si.edu/david-nzomo/african-politics-more-songs-from-kenya/historical-song-world/music/album/smithsonian,Kenya,35.0960616191085,3.53030023362672
FW08503,Folkways Records,1970,African Rhythms: Songs from Kenya,David Nzomo,Kenya,,World,,,World music,http://www.folkways.si.edu/david-nzomo/african-rhythms-songs-from-kenya/world/music/album/smithsonian,Kenya,37.9045248995958,-0.708657276838059
